       0            1    0.0260884 1.19827e-006 2.74145e+011      1.19814
     2.5            1    0.0408059 2.51644e-006 1.75269e+011      1.02967
       5            1    0.0648731 5.38104e-006 1.10246e+011     0.872172
     7.5            1     0.104732 1.17085e-005 6.82884e+010     0.728973
      10            1     0.171514 2.59025e-005 4.16992e+010     0.602034
    12.5            1     0.309201 6.87169e-005 2.31306e+010     0.492013
      15            1     0.562472  0.000183956 1.27153e+010     0.398496
    17.5            1      1.03101  0.000496223 6.93689e+009     0.320316
      20            1      1.90181   0.00134708 3.76063e+009      0.25586
    22.5            1      3.55019   0.00372588 2.01454e+009     0.203323
      25            1      6.65588    0.0103512 1.07454e+009     0.160899
    27.5            1       12.522    0.0288613 5.71153e+008     0.126901
      30            1      23.6241    0.0807066 3.02738e+008    0.0998175
    32.5      1.00001      43.0406     0.210018 1.66165e+008    0.0783472
      35      1.00002      78.5855     0.547977 9.10048e+007    0.0613915
    37.5      1.00005      143.739      1.43297 4.97519e+007    0.0480414
      40      1.00013      263.286      3.75425 2.71589e+007    0.0375551
    42.5      1.00032      459.689      8.93002 1.55525e+007    0.0293338
      45      1.00075      803.167      21.2608 8.89852e+006    0.0228975
    47.5      1.00179      1403.89      50.6503  5.0878e+006    0.0178646
      50      1.00428      2454.07      120.697  2.9073e+006    0.0139326
    52.5      1.00991      4224.56       279.08  1.6856e+006    0.0108628
      55      1.02293         7267       645.21       976474   0.00846747
    57.5      1.05301      12475.5      1489.65       565222   0.00659934
      60       1.1221      21326.4      3427.09       326914   0.00514288
    62.5      1.32243      38720.8      9039.53       175157   0.00400775
      65      1.83239      68512.3      23309.3      93557.1   0.00312332
    67.5      3.04814       115112      57285.8      49794.4   0.00243447
      70      5.62089       176554       129089      26393.2   0.00189817
    72.5      11.0031       234150       279084      12613.5   0.00148089
      75      18.2982       248113       481891      6034.01   0.00115649
    77.5      26.5129       224351       709293      2891.36  0.000904667
      80      35.6295       186962       959448      1389.33  0.000709625
    82.5       46.259       151332 1.24705e+006      672.853  0.000559134
      85      59.4938       122251  1.5869e+006      328.262  0.000443753
    87.5      77.2712       101807 1.98561e+006      162.035  0.000356238
      90      104.756        92251  2.4357e+006      81.4556  0.000291098
    92.5      154.252      98885.1 2.90723e+006      43.8483  0.000244243
      95      264.577       124840 3.34108e+006      24.5067   0.00021273
    97.5      534.274       178515 3.65346e+006      14.3936   0.00019458
     100      1194.47       267952 3.76265e+006      8.97077  0.000188654
   102.5      1991.05       345845 3.75432e+006      7.14434  0.000188661
     105      3377.68       449853 3.73621e+006      5.66581   0.00018868
   107.5      5773.98       586336 3.70142e+006      4.47853  0.000188713
     110      9864.32       761412 3.63865e+006      3.53115  0.000188758
   112.5      16701.4       978302 3.53031e+006      2.77904  0.000188816
     115      27737.1 1.23191e+006 3.35182e+006       2.1844  0.000188886
   117.5      44577.2 1.50052e+006 3.07544e+006      1.71584  0.000188967
     120      68178.2 1.73898e+006 2.68337e+006      1.34765  0.000189058
   122.5      90911.9 1.86532e+006 2.30081e+006      1.13177  0.000189152
     125       115591 1.90779e+006 1.88076e+006     0.948394  0.000189239
   127.5       139850 1.85671e+006 1.46277e+006     0.793352  0.000189293
     130       161457 1.72434e+006 1.08553e+006     0.662698  0.000189273
   132.5       179088 1.53859e+006       773933     0.552829  0.000189104
     135       192551 1.33078e+006       534838     0.460531  0.000188676
   137.5       202505 1.12594e+006       361529     0.383002   0.00018783
     140       210018       939441       240985     0.317853   0.00018637
   142.5       214488       850160       191981     0.286252  0.000184071
     145       219689       771600       153377     0.256361  0.000180719
   147.5       226087       703642       123114     0.228126  0.000176156
     150       234105       645630      99426.9     0.201613  0.000170325
   152.5       244082       596500      80848.1     0.176978  0.000163304
     155       256242       554922      66191.8     0.154416  0.000155309
   157.5       270667       519431      54523.9     0.134095  0.000146657
     160       287284       488566      45127.7     0.116108  0.000137714
   162.5       303243       474054      39636.7     0.103174  0.000128835
     165       320478       460540      34847.4    0.0917107  0.000120317
   167.5       338476       447134      30609.3     0.081686  0.000112376
     170       356677       433143      26818.6    0.0730059  0.000105146
